net,length_um
_00877_,5.02µm
_01568_,5.02µm
_01722_,5.02µm
_02353_,5.02µm
_02954_,5.02µm
_03024_,5.02µm
_03080_,5.02µm
_03113_,5.02µm
_03123_,5.02µm
_03349_,5.02µm
_03420_,5.02µm
_03610_,5.02µm
_03655_,5.02µm
_03905_,5.02µm
_03918_,5.02µm
_04058_,5.02µm
_04623_,5.02µm
_04783_,5.02µm
_05612_,5.02µm
_05726_,5.02µm
_05895_,5.02µm
_05908_,5.02µm
_06009_,5.02µm
_06085_,5.02µm
_06124_,5.02µm
_06229_,5.02µm
_06240_,5.02µm
_02263_,5.015µm
_02160_,5µm
_02484_,5µm
_01934_,4.995µm
_00957_,4.98µm
_01078_,4.98µm
net796,4.975µm
net733,4.95µm
_00695_,4.94µm
_00862_,4.94µm
_01884_,4.94µm
_02190_,4.94µm
_02537_,4.94µm
_02633_,4.94µm
_02698_,4.94µm
_03652_,4.94µm
_03691_,4.94µm
_03780_,4.94µm
_03976_,4.94µm
_04440_,4.94µm
_04769_,4.94µm
_04908_,4.94µm
_05631_,4.94µm
_00519_,4.92µm
_00752_,4.92µm
_00968_,4.92µm
_00973_,4.92µm
_01283_,4.92µm
_01370_,4.92µm
_02358_,4.92µm
_02483_,4.92µm
_02689_,4.92µm
_03028_,4.92µm
_03136_,4.92µm
_03207_,4.92µm
_03642_,4.92µm
_03932_,4.92µm
_03999_,4.92µm
_04445_,4.92µm
_04492_,4.92µm
_04760_,4.92µm
_05264_,4.92µm
_05319_,4.92µm
_05383_,4.92µm
_05508_,4.92µm
_05528_,4.92µm
_02066_,4.91µm
_04107_,4.91µm
_00438_,4.905µm
_00780_,4.9µm
_01609_,4.9µm
_01729_,4.9µm
_03198_,4.9µm
_04005_,4.9µm
_04794_,4.9µm
_04994_,4.9µm
_05379_,4.9µm
_05553_,4.9µm
_06021_,4.9µm
_00244_,4.885µm
_00302_,4.885µm
_00304_,4.885µm
_00312_,4.885µm
_00342_,4.885µm
_00347_,4.885µm
_00902_,4.88µm
_01033_,4.88µm
_01080_,4.88µm
_01458_,4.88µm
_01471_,4.88µm
_01665_,4.88µm
_01819_,4.88µm
_02979_,4.88µm
_03077_,4.88µm
_03081_,4.88µm
_03323_,4.88µm
_03412_,4.88µm
_03864_,4.88µm
_03991_,4.88µm
_04355_,4.88µm
_04505_,4.88µm
_05095_,4.88µm
_05580_,4.88µm
_05696_,4.88µm
_05890_,4.88µm
_06048_,4.88µm
_06316_,4.88µm
_00008_,4.845µm
_00088_,4.845µm
_00253_,4.845µm
_00259_,4.845µm
net776,4.845µm
net787,4.845µm
net790,4.845µm
_01003_,4.84µm
_00708_,4.83µm
_00765_,4.82µm
_00917_,4.82µm
_00931_,4.82µm
_01362_,4.82µm
_01499_,4.82µm
_01709_,4.82µm
_01825_,4.82µm
_02535_,4.82µm
_02831_,4.82µm
_03366_,4.82µm
_03649_,4.82µm
_04424_,4.82µm
_04808_,4.82µm
_06293_,4.82µm
_00873_,4.805µm
_00564_,4.8µm
_00844_,4.8µm
_01139_,4.8µm
_01183_,4.8µm
_01328_,4.8µm
_01625_,4.8µm
_01630_,4.8µm
_01850_,4.8µm
_02126_,4.8µm
_02170_,4.8µm
_02175_,4.8µm
_02220_,4.8µm
_02503_,4.8µm
_02846_,4.8µm
_03025_,4.8µm
_03162_,4.8µm
_03326_,4.8µm
_03591_,4.8µm
_03678_,4.8µm
_03931_,4.8µm
_04212_,4.8µm
_04269_,4.8µm
_04373_,4.8µm
_04378_,4.8µm
_04451_,4.8µm
_04501_,4.8µm
_04869_,4.8µm
_04905_,4.8µm
_05259_,4.8µm
_05274_,4.8µm
_05933_,4.8µm
_05967_,4.8µm
_06299_,4.8µm
_06374_,4.8µm
mac_wt_in1\[8\],4.8µm
mac_wt_in3\[21\],4.8µm
mac_wt_in3\[30\],4.8µm
net111,4.8µm
_00370_,4.785µm
_01637_,4.78µm
_01855_,4.78µm
_02345_,4.78µm
_02561_,4.78µm
_03550_,4.78µm
_03871_,4.78µm
_03716_,4.77µm
_00681_,4.76µm
_01437_,4.76µm
_01447_,4.76µm
_01822_,4.76µm
_01940_,4.76µm
_03137_,4.76µm
_04873_,4.76µm
_05549_,4.76µm
mac_wt_in3\[25\],4.76µm
net90,4.76µm
net115,4.76µm
net128,4.76µm
net130,4.76µm
net698,4.73µm
net758,4.725µm
_00266_,4.7µm
_00306_,4.7µm
_00471_,4.7µm
_00575_,4.7µm
_01702_,4.7µm
_03164_,4.7µm
net38,4.7µm
net813,4.7µm
_02545_,4.69µm
_00816_,4.68µm
_00850_,4.68µm
_01483_,4.68µm
_02154_,4.68µm
_02896_,4.68µm
_02903_,4.68µm
_03027_,4.68µm
_03174_,4.68µm
_03724_,4.68µm
_04118_,4.68µm
_04170_,4.68µm
_04498_,4.68µm
_04572_,4.68µm
_04657_,4.68µm
_04878_,4.68µm
_05598_,4.68µm
_05960_,4.68µm
mac_acc_in3\[43\],4.68µm
mac_acc_in3\[96\],4.68µm
mac_wt_in3\[23\],4.68µm
_04787_,4.67µm
_01179_,4.66µm
_01611_,4.66µm
_02576_,4.66µm
_03608_,4.66µm
_04078_,4.66µm
_04138_,4.66µm
_05186_,4.66µm
net63,4.66µm
_03946_,4.655µm
_04356_,4.635µm
_00144_,4.625µm
net784,4.625µm
net739,4.61µm
net745,4.61µm
net747,4.61µm
net697,4.61µm
net701,4.61µm
net703,4.61µm
net704,4.61µm
net707,4.61µm
net708,4.61µm
net716,4.61µm
net728,4.61µm
_01054_,4.6µm
_02337_,4.6µm
_02348_,4.6µm
_05849_,4.6µm
net830,4.6µm
_05603_,4.59µm
_00145_,4.585µm
_00234_,4.585µm
_01841_,4.58µm
_02527_,4.58µm
_03983_,4.58µm
_05710_,4.58µm
_00888_,4.56µm
_01106_,4.56µm
_01264_,4.56µm
_01631_,4.56µm
_01773_,4.56µm
_01843_,4.56µm
_01941_,4.56µm
_02058_,4.56µm
_02232_,4.56µm
_02525_,4.56µm
_03249_,4.56µm
_03698_,4.56µm
_03945_,4.56µm
_04506_,4.56µm
_04521_,4.56µm
_04986_,4.56µm
_05093_,4.56µm
_05105_,4.56µm
_05964_,4.56µm
_06136_,4.56µm
_06312_,4.56µm
_00498_,4.545µm
_01526_,4.54µm
_05447_,4.54µm
_03703_,4.49µm
_04428_,4.485µm
_00727_,4.48µm
_01174_,4.48µm
_01297_,4.48µm
_01412_,4.48µm
_01653_,4.48µm
_01769_,4.48µm
_02013_,4.48µm
_02108_,4.48µm
_02566_,4.48µm
_02770_,4.48µm
_02947_,4.48µm
_03970_,4.48µm
_04490_,4.48µm
_05014_,4.48µm
_05392_,4.48µm
_05706_,4.48µm
mac_acc_out3\[98\],4.48µm
net36,4.48µm
net59,4.48µm
_00762_,4.46µm
_01169_,4.46µm
_01260_,4.46µm
_02148_,4.46µm
_02174_,4.46µm
_02410_,4.46µm
_02466_,4.46µm
_02512_,4.46µm
_02637_,4.46µm
_03388_,4.46µm
_03754_,4.46µm
_04142_,4.46µm
_04183_,4.46µm
_04193_,4.46µm
_04277_,4.46µm
_04328_,4.46µm
_04392_,4.46µm
_05053_,4.46µm
_05145_,4.46µm
_05343_,4.46µm
_05356_,4.46µm
_05862_,4.46µm
_06281_,4.46µm
_06372_,4.46µm
mac_acc_in2\[11\],4.46µm
_03331_,4.455µm
_00783_,4.44µm
_00967_,4.44µm
_01613_,4.44µm
_02376_,4.44µm
_03112_,4.44µm
_03612_,4.44µm
_03741_,4.44µm
_03879_,4.44µm
_04509_,4.44µm
_05160_,4.44µm
_05436_,4.44µm
_05563_,4.44µm
_06034_,4.44µm
_06308_,4.44µm
mac_acc_out3\[68\],4.44µm
_00369_,4.425µm
_00605_,4.42µm
_01257_,4.42µm
_01956_,4.42µm
_02401_,4.42µm
_03125_,4.42µm
_03861_,4.42µm
_04993_,4.42µm
_05062_,4.42µm
_05350_,4.42µm
_05538_,4.42µm
net116,4.42µm
net131,4.42µm
net134,4.42µm
net737,4.39µm
net699,4.39µm
net702,4.39µm
net714,4.39µm
net715,4.39µm
net717,4.39µm
_00072_,4.385µm
_00095_,4.385µm
_00217_,4.385µm
_00367_,4.385µm
net761,4.385µm
net788,4.385µm
net804,4.385µm
_00282_,4.36µm
_00320_,4.36µm
_01286_,4.36µm
_02460_,4.36µm
_02733_,4.36µm
_02840_,4.36µm
_03019_,4.36µm
_03239_,4.36µm
_03322_,4.36µm
_03378_,4.36µm
_03838_,4.36µm
_04070_,4.36µm
_04796_,4.36µm
_05213_,4.36µm
_05936_,4.36µm
_00281_,4.34µm
_00538_,4.34µm
_00565_,4.34µm
_00749_,4.34µm
_00824_,4.34µm
_00887_,4.34µm
_01052_,4.34µm
_01065_,4.34µm
_01225_,4.34µm
_01301_,4.34µm
_01393_,4.34µm
_01660_,4.34µm
_01814_,4.34µm
_01917_,4.34µm
_02034_,4.34µm
_02037_,4.34µm
_02079_,4.34µm
_02312_,4.34µm
_02426_,4.34µm
_02502_,4.34µm
_02610_,4.34µm
_02785_,4.34µm
_03187_,4.34µm
_03379_,4.34µm
_03911_,4.34µm
_04099_,4.34µm
_04421_,4.34µm
_04450_,4.34µm
_04691_,4.34µm
_04745_,4.34µm
_04803_,4.34µm
_04825_,4.34µm
_04903_,4.34µm
_05050_,4.34µm
_05424_,4.34µm
_05608_,4.34µm
_05759_,4.34µm
_05848_,4.34µm
_05949_,4.34µm
_06031_,4.34µm
_06043_,4.34µm
mac_acc_in3\[40\],4.34µm
mac_data_in2\[7\],4.34µm
net84,4.34µm
_05587_,4.335µm
_00571_,4.32µm
_04841_,4.32µm
_05448_,4.31µm
net765,4.265µm
_00171_,4.24µm
_00276_,4.24µm
_00870_,4.24µm
_03532_,4.24µm
_05124_,4.24µm
mac_acc_in3\[33\],4.24µm
_00725_,4.22µm
_01143_,4.22µm
_01148_,4.22µm
_01563_,4.22µm
_01575_,4.22µm
_01693_,4.22µm
_01718_,4.22µm
_01777_,4.22µm
_03163_,4.22µm
_03616_,4.22µm
_03690_,4.22µm
_04069_,4.22µm
_04818_,4.22µm
_04962_,4.22µm
_05539_,4.22µm
_05660_,4.22µm
_05801_,4.22µm
_05803_,4.22µm
_05864_,4.22µm
_05886_,4.22µm
_05893_,4.22µm
_06176_,4.22µm
_06198_,4.22µm
mac_acc_in1\[102\],4.22µm
net6,4.22µm
net81,4.22µm
_05169_,4.21µm
_00808_,4.2µm
_01798_,4.2µm
_02073_,4.2µm
_02910_,4.2µm
_03362_,4.2µm
_03866_,4.2µm
_04173_,4.195µm
_00639_,4.18µm
_00156_,4.165µm
net781,4.165µm
_01319_,4.14µm
_01834_,4.14µm
_02039_,4.14µm
_04153_,4.14µm
_05291_,4.14µm
_00191_,4.125µm
_00222_,4.125µm
_03516_,4.12µm
_05500_,4.12µm
mac_wt_in1\[25\],4.12µm
mac_wt_in2\[6\],4.12µm
_01345_,4.11µm
_01044_,4.105µm
_00572_,4.1µm
_01987_,4.1µm
_02097_,4.1µm
_03308_,4.1µm
_03800_,4.1µm
_04278_,4.1µm
_04389_,4.1µm
_04615_,4.1µm
_04734_,4.1µm
_04775_,4.1µm
_05136_,4.1µm
_05623_,4.1µm
_06105_,4.1µm
_06138_,4.1µm
_01267_,4.08µm
_01699_,4.08µm
_03350_,4.08µm
_03659_,4.08µm
_04075_,4.08µm
_04398_,4.08µm
mac_wt_in2\[2\],4.08µm
_00357_,4.02µm
_00583_,4.02µm
_00722_,4.02µm
_00734_,4.02µm
_01061_,4.02µm
_01454_,4.02µm
_01543_,4.02µm
_01751_,4.02µm
_01967_,4.02µm
_03120_,4.02µm
_03213_,4.02µm
_03445_,4.02µm
_03459_,4.02µm
_03593_,4.02µm
_04684_,4.02µm
_04810_,4.02µm
_05284_,4.02µm
_05302_,4.02µm
_06359_,4.02µm
mac_data_in2\[18\],4.02µm
net47,4.02µm
net831,4.02µm
_00510_,4µm
_00590_,4µm
_00773_,4µm
_00841_,4µm
_00909_,4µm
_01230_,4µm
_01359_,4µm
_01703_,4µm
_01747_,4µm
_01785_,4µm
_02223_,4µm
_02243_,4µm
_02267_,4µm
_02406_,4µm
_02461_,4µm
_02538_,4µm
_02571_,4µm
_02621_,4µm
_02769_,4µm
_02918_,4µm
_03298_,4µm
_03369_,4µm
_03483_,4µm
_03538_,4µm
_03882_,4µm
_04222_,4µm
_04418_,4µm
_04823_,4µm
_05374_,4µm
_05454_,4µm
_05991_,4µm
mac_acc_in2\[12\],4µm
mac_acc_in2\[16\],4µm
mac_acc_in3\[16\],4µm
mac_acc_in3\[47\],4µm
mac_acc_out3\[113\],4µm
mac_acc_out3\[18\],4µm
_00427_,3.985µm
_00584_,3.98µm
_01450_,3.98µm
_02372_,3.98µm
_02998_,3.98µm
_03830_,3.98µm
_03870_,3.98µm
_03899_,3.98µm
_04128_,3.98µm
_04622_,3.98µm
_04896_,3.98µm
_05229_,3.98µm
net785,3.975µm
_00501_,3.965µm
_00041_,3.925µm
_00210_,3.925µm
net752,3.925µm
net762,3.925µm
net770,3.925µm
net793,3.925µm
net794,3.925µm
net806,3.925µm
net810,3.925µm
_00245_,3.92µm
_00409_,3.92µm
_00754_,3.9µm
_00892_,3.9µm
_01353_,3.9µm
_01799_,3.9µm
_03203_,3.9µm
_03771_,3.9µm
_03960_,3.9µm
_04596_,3.9µm
_04877_,3.9µm
_04941_,3.9µm
_00561_,3.88µm
_00589_,3.88µm
_00602_,3.88µm
_00969_,3.88µm
_01024_,3.88µm
_01130_,3.88µm
_01137_,3.88µm
_01277_,3.88µm
_01295_,3.88µm
_01349_,3.88µm
_01364_,3.88µm
_01428_,3.88µm
_01510_,3.88µm
_01654_,3.88µm
_01807_,3.88µm
_02006_,3.88µm
_02196_,3.88µm
_02204_,3.88µm
_02214_,3.88µm
_02385_,3.88µm
_02451_,3.88µm
_02570_,3.88µm
_02623_,3.88µm
_02730_,3.88µm
_02772_,3.88µm
_02962_,3.88µm
_03522_,3.88µm
_03586_,3.88µm
_03624_,3.88µm
_03858_,3.88µm
_03936_,3.88µm
_03969_,3.88µm
_04066_,3.88µm
_04067_,3.88µm
_04264_,3.88µm
_04316_,3.88µm
_04484_,3.88µm
_04589_,3.88µm
_04885_,3.88µm
_04906_,3.88µm
_04979_,3.88µm
_04987_,3.88µm
_05022_,3.88µm
_05133_,3.88µm
_05205_,3.88µm
_05216_,3.88µm
_05451_,3.88µm
_05591_,3.88µm
_05615_,3.88µm
_05654_,3.88µm
_05938_,3.88µm
_05950_,3.88µm
_05994_,3.88µm
_06188_,3.88µm
_06358_,3.88µm
_06360_,3.88µm
mac_wt_in1\[9\],3.88µm
mac_wt_in2\[19\],3.88µm
mac_wt_in3\[15\],3.88µm
net92,3.88µm
net96,3.88µm
net135,3.88µm
_00344_,3.865µm
_00402_,3.865µm
_00874_,3.86µm
_02685_,3.86µm
_00127_,3.78µm
_00792_,3.78µm
_02392_,3.78µm
_02518_,3.78µm
_02528_,3.78µm
_02801_,3.78µm
_03807_,3.78µm
_05968_,3.78µm
_00798_,3.76µm
_01209_,3.76µm
_01639_,3.76µm
_02216_,3.76µm
_02459_,3.76µm
_03215_,3.76µm
_03296_,3.76µm
_03357_,3.76µm
_03909_,3.76µm
_03923_,3.76µm
_04189_,3.76µm
_04714_,3.76µm
_05427_,3.76µm
_05494_,3.76µm
_05828_,3.76µm
_05911_,3.76µm
_06083_,3.76µm
_06113_,3.76µm
_06250_,3.76µm
_06376_,3.76µm
_02845_,3.74µm
_00976_,3.72µm
_00073_,3.705µm
_00289_,3.705µm
net751,3.705µm
net754,3.705µm
net791,3.705µm
net792,3.705µm
_00669_,3.69µm
_00136_,3.685µm
_00272_,3.685µm
_01608_,3.68µm
_03448_,3.68µm
_03715_,3.68µm
_04252_,3.68µm
_04717_,3.68µm
_06380_,3.68µm
_01749_,3.66µm
_02413_,3.66µm
_04131_,3.66µm
_04157_,3.66µm
_05092_,3.66µm
_05138_,3.66µm
_05488_,3.66µm
_05945_,3.66µm
u_MAC34.mac_weight\[1\],3.66µm
_02462_,3.64µm
_02774_,3.64µm
_03893_,3.64µm
_03904_,3.64µm
_04826_,3.64µm
_05956_,3.64µm
mac_acc_in1\[79\],3.64µm
_01656_,3.635µm
_01997_,3.62µm
_00148_,3.585µm
_01531_,3.56µm
_01690_,3.56µm
_03020_,3.56µm
_03086_,3.56µm
_03368_,3.56µm
_03418_,3.56µm
_03470_,3.56µm
_04062_,3.56µm
_04271_,3.56µm
_04276_,3.56µm
_04346_,3.56µm
_04945_,3.56µm
_05149_,3.56µm
_05224_,3.56µm
_06004_,3.56µm
_06006_,3.56µm
_06104_,3.56µm
mac_acc_out3\[110\],3.56µm
mac_acc_out3\[1\],3.56µm
mac_acc_out3\[7\],3.56µm
net51,3.56µm
net52,3.56µm
_00720_,3.54µm
_01005_,3.54µm
_01025_,3.54µm
_01513_,3.54µm
_01781_,3.54µm
_02330_,3.54µm
_02688_,3.54µm
_02738_,3.54µm
_02902_,3.54µm
_02930_,3.54µm
_03041_,3.54µm
_03352_,3.54µm
_03383_,3.54µm
_03517_,3.54µm
_03878_,3.54µm
_04821_,3.54µm
_05130_,3.54µm
_05322_,3.54µm
_05807_,3.54µm
_05969_,3.54µm
_06146_,3.54µm
mac_acc_in3\[48\],3.54µm
mac_acc_out3\[109\],3.54µm
mac_acc_out3\[73\],3.54µm
mac_acc_out3\[82\],3.54µm
net133,3.54µm
net835,3.54µm
_00294_,3.525µm
_00325_,3.525µm
_00408_,3.525µm
_00476_,3.525µm
_00723_,3.52µm
_01476_,3.52µm
_03434_,3.52µm
_03645_,3.52µm
_04957_,3.52µm
_05846_,3.52µm
_00180_,3.515µm
_00135_,3.505µm
_00449_,3.505µm
_01039_,3.5µm
_00105_,3.465µm
_00152_,3.465µm
_00170_,3.465µm
_00193_,3.465µm
_00200_,3.465µm
_00350_,3.465µm
_00429_,3.46µm
_00619_,3.44µm
_02144_,3.44µm
_02865_,3.44µm
_02868_,3.44µm
_02897_,3.44µm
_03884_,3.44µm
_03997_,3.44µm
_04021_,3.44µm
_04383_,3.44µm
mac_acc_in1\[97\],3.44µm
mac_wt_in2\[3\],3.44µm
_00580_,3.42µm
_00623_,3.42µm
_00688_,3.42µm
_00739_,3.42µm
_00959_,3.42µm
_01064_,3.42µm
_01405_,3.42µm
_01409_,3.42µm
_01417_,3.42µm
_02008_,3.42µm
_02201_,3.42µm
_02230_,3.42µm
_02297_,3.42µm
_02332_,3.42µm
_02526_,3.42µm
_02740_,3.42µm
_03200_,3.42µm
_03233_,3.42µm
_03660_,3.42µm
_03681_,3.42µm
_03750_,3.42µm
_03785_,3.42µm
_03869_,3.42µm
_04270_,3.42µm
_04587_,3.42µm
_04656_,3.42µm
_04784_,3.42µm
_04813_,3.42µm
_05020_,3.42µm
_05141_,3.42µm
_05185_,3.42µm
_05410_,3.42µm
_05548_,3.42µm
_05579_,3.42µm
_05672_,3.42µm
_05711_,3.42µm
_06051_,3.42µm
_06186_,3.42µm
_06309_,3.42µm
_06332_,3.42µm
_06388_,3.42µm
mac_wt_in1\[22\],3.42µm
net73,3.42µm
net74,3.42µm
net106,3.42µm
_01645_,3.4µm
_00010_,3.345µm
_00499_,3.34µm
_00062_,3.32µm
_00204_,3.32µm
_00295_,3.32µm
_00991_,3.32µm
_01786_,3.32µm
_02863_,3.32µm
_05127_,3.32µm
_01261_,3.3µm
_02277_,3.3µm
_02773_,3.3µm
_03795_,3.3µm
_04793_,3.3µm
_04974_,3.3µm
_05820_,3.3µm
_03638_,3.29µm
_00025_,3.245µm
_00029_,3.245µm
_00043_,3.245µm
_00113_,3.245µm
net756,3.245µm
net757,3.245µm
net766,3.245µm
net771,3.245µm
net780,3.245µm
net795,3.245µm
net798,3.245µm
net800,3.245µm
net801,3.245µm
net802,3.245µm
net803,3.245µm
_00111_,3.225µm
_00201_,3.225µm
_00810_,3.22µm
_01263_,3.22µm
_01791_,3.22µm
_02642_,3.22µm
_05534_,3.22µm
_05814_,3.22µm
net46,3.22µm
_01489_,3.2µm
_02595_,3.2µm
_03258_,3.2µm
_05086_,3.2µm
_05417_,3.2µm
_05745_,3.2µm
u_MAC44.mac_weight\[1\],3.2µm
net7,3.2µm
_03684_,3.19µm
_02101_,3.18µm
_02248_,3.18µm
_02427_,3.18µm
_03491_,3.18µm
_04344_,3.18µm
_04469_,3.18µm
_04507_,3.18µm
_05155_,3.18µm
_05727_,3.18µm
_05980_,3.18µm
_01434_,3.16µm
_01272_,3.14µm
_05361_,3.135µm
_01004_,3.11µm
_01030_,3.1µm
_01223_,3.1µm
_01379_,3.1µm
_01433_,3.1µm
_01467_,3.1µm
_01572_,3.1µm
_01686_,3.1µm
_01853_,3.1µm
_02007_,3.1µm
_02200_,3.1µm
_02293_,3.1µm
_02363_,3.1µm
_02457_,3.1µm
_02472_,3.1µm
_02961_,3.1µm
_02988_,3.1µm
_03054_,3.1µm
_03074_,3.1µm
_03791_,3.1µm
_04132_,3.1µm
_04568_,3.1µm
_04827_,3.1µm
_05165_,3.1µm
_05245_,3.1µm
_05986_,3.1µm
_06203_,3.1µm
_06367_,3.1µm
mac_acc_in2\[48\],3.1µm
mac_acc_out3\[79\],3.1µm
net61,3.1µm
net826,3.1µm
_00895_,3.08µm
_01227_,3.08µm
_01306_,3.08µm
_01396_,3.08µm
_01894_,3.08µm
_02035_,3.08µm
_02053_,3.08µm
_02143_,3.08µm
_02210_,3.08µm
_02340_,3.08µm
_02491_,3.08µm
_02517_,3.08µm
_02663_,3.08µm
_02795_,3.08µm
_03633_,3.08µm
_03637_,3.08µm
_03707_,3.08µm
_03831_,3.08µm
_03902_,3.08µm
_03949_,3.08µm
_04061_,3.08µm
_04349_,3.08µm
_04482_,3.08µm
_04567_,3.08µm
_04830_,3.08µm
_04894_,3.08µm
_05060_,3.08µm
_05102_,3.08µm
_05106_,3.08µm
_05183_,3.08µm
_05294_,3.08µm
_05576_,3.08µm
_05825_,3.08µm
_06346_,3.08µm
_06371_,3.08µm
mac_acc_in3\[49\],3.08µm
mac_acc_out3\[102\],3.08µm
mac_acc_out3\[108\],3.08µm
mac_acc_out3\[10\],3.08µm
mac_acc_out3\[15\],3.08µm
mac_acc_out3\[16\],3.08µm
mac_acc_out3\[38\],3.08µm
mac_acc_out3\[39\],3.08µm
mac_acc_out3\[40\],3.08µm
mac_acc_out3\[48\],3.08µm
mac_acc_out3\[5\],3.08µm
mac_acc_out3\[6\],3.08µm
mac_acc_out3\[70\],3.08µm
mac_wt_in1\[23\],3.08µm
mac_wt_in2\[14\],3.08µm
_00349_,3.075µm
_02433_,3.06µm
_00087_,3.055µm
_00009_,3.045µm
_00165_,3.045µm
_00260_,3.045µm
net808,3.045µm
_00030_,3.005µm
_00090_,3.005µm
_00123_,3.005µm
_00323_,3.005µm
_01701_,2.98µm
_01727_,2.98µm
_01746_,2.98µm
_01824_,2.98µm
_02103_,2.98µm
_03762_,2.98µm
_05400_,2.98µm
mac_acc_in1\[109\],2.98µm
_00505_,2.96µm
_00586_,2.96µm
_00617_,2.96µm
_00678_,2.96µm
_00742_,2.96µm
_00760_,2.96µm
_00832_,2.96µm
_00922_,2.96µm
_01351_,2.96µm
_01616_,2.96µm
_01758_,2.96µm
_01812_,2.96µm
_01816_,2.96µm
_01916_,2.96µm
_01926_,2.96µm
_02256_,2.96µm
_02344_,2.96µm
_02377_,2.96µm
_02597_,2.96µm
_03032_,2.96µm
_03267_,2.96µm
_03640_,2.96µm
_03726_,2.96µm
_03744_,2.96µm
_03916_,2.96µm
_04039_,2.96µm
_04169_,2.96µm
_04293_,2.96µm
_04795_,2.96µm
_04954_,2.96µm
_04976_,2.96µm
_04985_,2.96µm
_05159_,2.96µm
_05168_,2.96µm
_05222_,2.96µm
_05271_,2.96µm
_05509_,2.96µm
_05840_,2.96µm
_05993_,2.96µm
_06086_,2.96µm
_06091_,2.96µm
_06210_,2.96µm
_06387_,2.96µm
mac_acc_in2\[34\],2.96µm
mac_wt_in3\[22\],2.96µm
net101,2.96µm
net141,2.96µm
net846,2.96µm
_00322_,2.945µm
_00431_,2.945µm
_00434_,2.945µm
_00436_,2.945µm
_00102_,2.925µm
net750,2.885µm
net755,2.885µm
_00218_,2.88µm
_01006_,2.87µm
_00089_,2.86µm
_00093_,2.86µm
_00109_,2.86µm
_00110_,2.86µm
_00121_,2.86µm
_00122_,2.86µm
_00178_,2.86µm
_00190_,2.86µm
_00192_,2.86µm
_00379_,2.86µm
_00404_,2.86µm
_00406_,2.86µm
_01403_,2.86µm
_01644_,2.86µm
_01649_,2.86µm
_02090_,2.86µm
_02106_,2.86µm
_02273_,2.86µm
_02661_,2.86µm
_02172_,2.84µm
_02594_,2.84µm
_03039_,2.84µm
_03507_,2.84µm
_04051_,2.84µm
_04393_,2.84µm
_05782_,2.84µm
_06097_,2.84µm
_05198_,2.82µm
_00061_,2.785µm
_00146_,2.785µm
_00407_,2.785µm
_00466_,2.785µm
_00477_,2.785µm
net805,2.785µm
net819,2.785µm
_00860_,2.76µm
_03941_,2.76µm
_04315_,2.76µm
_05676_,2.76µm
_05809_,2.76µm
_06013_,2.76µm
_00703_,2.74µm
_01421_,2.74µm
_02748_,2.74µm
_02850_,2.74µm
_05057_,2.74µm
_05599_,2.74µm
mac_wt_in2\[16\],2.74µm
_02092_,2.72µm
_03450_,2.72µm
_04573_,2.72µm
_05217_,2.72µm
_00150_,2.715µm
_00169_,2.715µm
net764,2.715µm
_04387_,2.7µm
_05665_,2.67µm
_00595_,2.64µm
_01035_,2.64µm
_01038_,2.64µm
_01331_,2.64µm
_01430_,2.64µm
_02794_,2.64µm
_03235_,2.64µm
_04049_,2.64µm
_04400_,2.64µm
_04449_,2.64µm
_04495_,2.64µm
_04541_,2.64µm
_04701_,2.64µm
_04901_,2.64µm
_05464_,2.64µm
_05768_,2.64µm
_06171_,2.64µm
mac_acc_out3\[112\],2.64µm
mac_acc_out3\[64\],2.64µm
_00651_,2.62µm
_00846_,2.62µm
_00992_,2.62µm
_01334_,2.62µm
_01407_,2.62µm
_01425_,2.62µm
_01661_,2.62µm
_02137_,2.62µm
_02152_,2.62µm
_02233_,2.62µm
_02291_,2.62µm
_02456_,2.62µm
_02493_,2.62µm
_03329_,2.62µm
_03748_,2.62µm
_03850_,2.62µm
_03978_,2.62µm
_04071_,2.62µm
_04403_,2.62µm
_04465_,2.62µm
_04514_,2.62µm
_04544_,2.62µm
_05282_,2.62µm
_05309_,2.62µm
_05310_,2.62µm
_05394_,2.62µm
_05457_,2.62µm
_05504_,2.62µm
_05570_,2.62µm
_05602_,2.62µm
_05650_,2.62µm
_05677_,2.62µm
_05699_,2.62µm
_05702_,2.62µm
_05791_,2.62µm
_05835_,2.62µm
_05859_,2.62µm
_06047_,2.62µm
_06072_,2.62µm
_06324_,2.62µm
_06386_,2.62µm
mac_acc_in2\[98\],2.62µm
mac_acc_out3\[43\],2.62µm
mac_acc_out3\[49\],2.62µm
mac_wt_in3\[28\],2.62µm
net54,2.62µm
_00250_,2.605µm
_00356_,2.605µm
_00359_,2.605µm
net807,2.605µm
_00216_,2.595µm
net763,2.595µm
_01470_,2.59µm
_00239_,2.585µm
_00255_,2.585µm
_00273_,2.585µm
_00439_,2.585µm
_00475_,2.585µm
_00012_,2.545µm
_00014_,2.545µm
_00027_,2.545µm
_00031_,2.545µm
_00042_,2.545µm
_00046_,2.545µm
_00058_,2.545µm
_00074_,2.545µm
_00092_,2.545µm
_00126_,2.545µm
_00151_,2.545µm
_00168_,2.545µm
_00194_,2.545µm
_00212_,2.545µm
_00221_,2.545µm
_00257_,2.545µm
_00474_,2.54µm
_00601_,2.52µm
_00641_,2.52µm
_00713_,2.52µm
_02099_,2.52µm
_02646_,2.52µm
_03261_,2.52µm
