Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_137_461,VPWR,li1,218.2700,383.5200,1.799815
FILLER_137_458,VPWR,li1,216.8900,383.5200,1.799815
FILLER_137_455,VPWR,li1,215.5100,383.5200,1.799816
FILLER_137_452,VPWR,li1,214.1300,383.5200,1.799817
FILLER_137_449,VPWR,li1,212.7500,383.5200,1.799817
FILLER_137_446,VPWR,li1,211.1400,383.5200,1.799818
FILLER_137_443,VPWR,li1,209.9900,383.5200,1.799819
FILLER_137_440,VPWR,li1,208.6100,383.5200,1.799819
FILLER_137_393,VPWR,li1,186.7600,383.5200,1.799847
FILLER_137_391,VPWR,li1,185.6100,383.5200,1.799847
FILLER_137_388,VPWR,li1,184.6900,383.5200,1.799853
FILLER_137_385,VPWR,li1,183.3100,383.5200,1.799853
FILLER_137_367,VPWR,li1,174.8000,383.5200,1.799853
FILLER_137_337,VPWR,li1,160.7700,383.5200,1.799751
FILLER_137_331,VPWR,li1,158.0100,383.5200,1.799738
FILLER_137_304,VPWR,li1,146.0500,383.5200,1.799677
FILLER_137_278,VPWR,li1,133.8600,383.5200,1.799637
FILLER_137_257,VPWR,li1,124.2000,383.5200,1.799627
FILLER_137_228,VPWR,li1,110.8600,383.5200,1.799628
FILLER_137_225,VPWR,li1,109.7100,383.5200,1.799629
