Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_137_706,VGND,li1,330.9700,386.2400,0.000045
FILLER_137_703,VGND,li1,329.5900,386.2400,0.000045
FILLER_137_700,VGND,li1,328.2100,386.2400,0.000054
FILLER_137_697,VGND,li1,326.8300,386.2400,0.000061
FILLER_137_694,VGND,li1,325.4500,386.2400,0.000061
FILLER_137_691,VGND,li1,324.0700,386.2400,0.000068
FILLER_137_688,VGND,li1,322.6900,386.2400,0.000076
FILLER_137_685,VGND,li1,321.3100,386.2400,0.000076
FILLER_137_682,VGND,li1,319.9300,386.2400,0.000083
FILLER_137_679,VGND,li1,318.5500,386.2400,0.000092
FILLER_137_676,VGND,li1,317.1700,386.2400,0.000092
FILLER_137_673,VGND,li1,315.7900,386.2400,0.000099
FILLER_137_671,VGND,li1,314.4100,386.2400,0.000106
FILLER_137_668,VGND,li1,313.4900,386.2400,0.000106
FILLER_137_665,VGND,li1,312.1100,386.2400,0.000115
FILLER_137_662,VGND,li1,310.7300,386.2400,0.000122
FILLER_137_659,VGND,li1,309.3500,386.2400,0.000122
FILLER_137_656,VGND,li1,307.9700,386.2400,0.000131
FILLER_137_653,VGND,li1,306.5900,386.2400,0.000138
FILLER_137_650,VGND,li1,305.2100,386.2400,0.000138
FILLER_137_647,VGND,li1,303.8300,386.2400,0.000146
FILLER_137_644,VGND,li1,302.4500,386.2400,0.000153
FILLER_137_641,VGND,li1,301.0700,386.2400,0.000153
FILLER_137_638,VGND,li1,299.6900,386.2400,0.000160
FILLER_137_635,VGND,li1,298.3100,386.2400,0.000169
FILLER_137_632,VGND,li1,296.9300,386.2400,0.000169
FILLER_137_629,VGND,li1,295.5500,386.2400,0.000179
FILLER_137_626,VGND,li1,294.1700,386.2400,0.000179
FILLER_137_623,VGND,li1,292.7900,386.2400,0.000189
FILLER_137_620,VGND,li1,291.4100,386.2400,0.000189
FILLER_137_617,VGND,li1,290.0300,386.2400,0.000199
FILLER_137_614,VGND,li1,288.4200,386.2400,0.000199
FILLER_137_603,VGND,li1,283.5900,386.2400,0.000213
FILLER_137_576,VGND,li1,271.1700,386.2400,0.000238
FILLER_137_573,VGND,li1,269.7900,386.2400,0.000243
FILLER_137_570,VGND,li1,268.4100,386.2400,0.000243
FILLER_137_567,VGND,li1,267.0300,386.2400,0.000247
FILLER_137_564,VGND,li1,265.6500,386.2400,0.000247
FILLER_137_561,VGND,li1,264.2700,386.2400,0.000251
FILLER_137_557,VGND,li1,262.4300,386.2400,0.000254
FILLER_137_554,VGND,li1,261.0500,386.2400,0.000254
FILLER_137_527,VGND,li1,248.6300,386.2400,0.000270
FILLER_137_524,VGND,li1,247.2500,386.2400,0.000272
FILLER_137_521,VGND,li1,245.8700,386.2400,0.000272
